game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
blackjack,19,3 jack 6 ,computer,21,ace king ,100,200,-3,0.5576923076923077,-5.379310344827586,",7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
Tie,19,3 jack 6 ,player1,19,king 9 ,100,0,-3,0.5576923076923077,-5.379310344827586,",7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
player wins,18,4 king 4 ,computer,20,7 2 6 5 ,100,300,-3,0.42307692307692313,-7.09090909090909,",ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
dealer wins,18,4 king 4 ,player1,17,10 7 ,500,-500,-3,0.42307692307692313,-7.09090909090909,",ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,400,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,600,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,700,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,800,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,900,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
Tie,20,jack 10 ,player1,20,queen king ,100,-500,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
player wins,20,jack 10 ,computer,21,4 2 5 king ,100,1000,-2,0.8846153846153846,-2.2608695652173916,",7,ace,10,6,jack,jack,king,8,queen,4,king,jack,9,ace,3,4,7,3,3,ace,10,8,9,7,7,queen,6,2,5,2,2,8,5,5,8,9,ace,4,10,queen,6,9,6"
